                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5533,                  2.081,                 1.6888,                0.60187,                0.52725,                0.56169,                0.22043,                 2.0532,                 1.9311,                  2.649,               0.067229,             0.00033102,             0.00033102
                      2,                 1.5935,                 1.8104,                 1.7424,                0.58004,                0.58175,                0.58779,                 0.3164,                 1.4766,                 1.6055,                 1.9137,               0.034225,             0.00065997,             0.00065997
                      3,                 1.5735,                 1.7686,                 1.7244,                0.53335,                0.65133,                0.54464,                0.26138,                 1.6492,                 1.6527,                 2.2089,               0.001216,             0.00098452,             0.00098452
                      4,                 1.6165,                 1.7891,                 1.7498,                0.72533,                0.61843,                0.69361,                0.37542,                 1.5127,                 1.4798,                 1.9458,              0.0009802,              0.0009802,              0.0009802
                      5,                 1.5527,                 1.7495,                   1.72,                0.71626,                0.66303,                0.72851,                0.42463,                 1.3456,                 1.4448,                 1.7695,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.5258,                 1.6663,                 1.6801,                0.71214,                0.72448,                 0.7345,                0.41716,                 1.4436,                 1.2564,                 1.8269,              0.0009736,              0.0009736,              0.0009736
                      7,                 1.5204,                 1.6477,                 1.6921,                0.70024,                0.72695,                0.73087,                0.42348,                 1.3637,                 1.2704,                 1.7674,               0.000967,               0.000967,               0.000967
                      8,                 1.4918,                 1.6029,                 1.6606,                0.74257,                0.74043,                0.81533,                0.51227,                 1.2379,                 1.1395,                 1.6611,              0.0009604,              0.0009604,              0.0009604
                      9,                 1.4672,                 1.5555,                 1.6491,                0.78432,                0.73637,                0.80178,                0.48195,                 1.2697,                 1.1678,                 1.6872,              0.0009538,              0.0009538,              0.0009538
                     10,                 1.4438,                 1.5385,                  1.632,                0.81161,                0.78988,                0.84595,                 0.5276,                 1.2386,                 1.0994,                 1.6632,              0.0009472,              0.0009472,              0.0009472
